Onnett_id;Osall_id;Henkilo_id;Osnro;Kulj_matk;Ikä;Sukupuoli;Kortti;Seuraus;Seuraussel;Kulj_kans;Ajokortlk;Ajokortikä
6856841;11949919;11809007;2;MA;89;N;;0;ei henkilövahinkoa;;;
6856841;11949919;11809008;2;KU;67;M;;L;loukkaantunut;;;
6832369;11949928;11809023;1;KU;71;M;;0;ei henkilövahinkoa;;;
6895197;11949940;11809036;1;MA;16;N;;K;kuollut;;;
6895197;11949940;11809037;1;KU;19;M;X;L;loukkaantunut;;;
6851134;11950110;11809303;1;MA;34;M;;L;loukkaantunut;;;
6851134;11950110;11809304;1;KU;27;N;;0;ei henkilövahinkoa;;;
6827812;11950125;11809324;1;MA;4;M;;L;loukkaantunut;;;
6827812;11950125;11809325;1;MA;6;M;;L;loukkaantunut;;;
6827812;11950125;11809326;1;MA;6;M;;0;ei henkilövahinkoa;;;
6827812;11950125;11809327;1;KU;30;N;;L;loukkaantunut;;;
6861498;11950143;11809352;1;KU;65;M;;0;ei henkilövahinkoa;;;
6861498;11950144;11809353;2;KU;77;M;;L;loukkaantunut;;;
6763497;11950356;11809617;1;MA;21;M;;L;loukkaantunut;;;
6763497;11950356;11809618;1;KU;21;N;X;L;loukkaantunut;;;
6763497;11950357;11809619;2;KU;;;;0;ei henkilövahinkoa;;;
6856673;11950547;11809852;1;KU;;M;O;0;ei henkilövahinkoa;;;
6856673;11950547;11809853;1;MA;;M;;0;ei henkilövahinkoa;;;
6849086;11950729;11809884;1;KU;21;N;;0;ei henkilövahinkoa;;;
6802363;11950750;11805810;1;MA;14;N;;0;ei henkilövahinkoa;;;
6802363;11950750;11805811;1;MA;27;M;;0;ei henkilövahinkoa;;;
6802363;11950750;11805812;1;KU;15;N;O;0;ei henkilövahinkoa;;;
6845887;11947601;11806498;1;KU;44;N;U;0;ei henkilövahinkoa;;;
6845887;11947602;11806499;2;KU;40;M;;0;ei henkilövahinkoa;;;
6747036;11947875;11807118;1;KU;;M;;0;ei henkilövahinkoa;;;
6753490;11947876;11807119;1;KU;72;M;;0;ei henkilövahinkoa;;;
6778791;11948111;11807147;1;MA;85;M;;L;loukkaantunut;;;
6778791;11948111;11807148;1;KU;46;N;;L;loukkaantunut;;;
6778792;11948113;11807150;1;KU;46;N;;0;ei henkilövahinkoa;;;
6778792;11948113;11807151;1;MA;;M;;0;ei henkilövahinkoa;;;
6778792;11948114;11807152;2;KU;58;M;;0;ei henkilövahinkoa;;;
6785434;11948609;11807662;1;KU;35;N;;L;loukkaantunut;;;
6785434;11948610;11807663;2;KU;37;M;;0;ei henkilövahinkoa;;;
6701968;11948611;11807664;1;KU;43;M;;0;ei henkilövahinkoa;;;
6701968;11948612;11807665;2;KU;;;;0;ei henkilövahinkoa;;;
6691590;11948644;11807916;1;MA;46;N;;0;ei henkilövahinkoa;;;
6691590;11948644;11807917;1;KU;21;N;;0;ei henkilövahinkoa;;;
6691590;11948645;11807918;2;JK;43;M;;L;loukkaantunut;;;
6735053;11948871;11807931;1;KU;22;M;;0;ei henkilövahinkoa;;;
6735053;11948872;11807932;2;KU;15;M;;0;ei henkilövahinkoa;;;
6725596;11949175;11808269;1;MA;17;M;;0;ei henkilövahinkoa;;;
6725596;11949175;11808270;1;MA;18;M;;0;ei henkilövahinkoa;;;
6725596;11949175;11808271;1;KU;18;M;X;0;ei henkilövahinkoa;;;
6701828;11949703;11808840;1;KU;19;N;;0;ei henkilövahinkoa;;;
6701828;11949704;11808841;2;KU;31;M;;0;ei henkilövahinkoa;;;
6725464;11949706;11808843;1;KU;51;N;;0;ei henkilövahinkoa;;;
6725464;11949707;11808844;2;JK;87;N;;L;loukkaantunut;;;
6725583;11949731;11808874;1;KU;31;M;;L;loukkaantunut;;;
6725583;11949732;11808875;2;KU;38;M;;0;ei henkilövahinkoa;;;
6708056;11949735;11808878;1;KU;21;M;;0;ei henkilövahinkoa;;;
6727999;11949945;11809056;1;KU;55;M;;L;loukkaantunut;;;
6727999;11949946;11809057;2;KU;77;M;;0;ei henkilövahinkoa;;;
6719119;11949956;11809067;1;KU;46;M;;0;ei henkilövahinkoa;;;
6719119;11949956;11809068;1;MA;;N;;L;loukkaantunut;;;
6719119;11949956;11809069;1;MA;;M;;0;ei henkilövahinkoa;;;
6719119;11949957;11809070;2;KU;44;M;;L;loukkaantunut;;;
6719119;11949957;11809071;2;MA;;M;;0;ei henkilövahinkoa;;;
6592406;11949973;11809096;1;KU;60;M;;0;ei henkilövahinkoa;;;
6592406;11949974;11809097;2;KU;47;M;;L;loukkaantunut;;;
6562383;11949975;11809098;1;KU;;N;;0;ei henkilövahinkoa;;;
6562383;11949975;11809099;1;MA;;N;;0;ei henkilövahinkoa;;;
